x_mm,group,channel_or_cluster,fpt_ns,t_le4_ns,N_at_tmax,n_events
-690,top_nearest,16,0.3424,0.5,318.687,2000
-690,end_left,"4,5,6,7",0.2567,0.5,1554.831,2000
-690,end_right,"8,9,10,11",5.5088,6.25,13.765,2000
-670,top_nearest,17,0.3423,0.5,318.495,2000
-670,end_left,"0,1,2,3",0.3422,0.5,1291.534,2000
-670,end_right,"8,9,10,11",5.4212,6.25,14.492,2000
-650,top_nearest,18,0.3425,0.5,317.989,2000
-650,end_left,"0,1,2,3",0.4274,0.5,1071.676,2000
-650,end_right,"8,9,10,11",5.3475,6.25,15.006,2000
-600,top_nearest,21,0.3459,0.5,370.717,2000
-600,end_left,"4,5,6,7",0.6368,0.75,755.357,2000
-600,end_right,"12,13,14,15",5.1547,6.0,17.002,2000
-550,top_nearest,23,0.3424,0.5,316.95,2000
-550,end_left,"4,5,6,7",0.839,1.0,586.444,2000
-550,end_right,"8,9,10,11",4.9534,5.75,19.18,2000
-500,top_nearest,26,0.3454,0.5,373.241,2000
-500,end_left,"4,5,6,7",1.0337,1.25,457.707,2000
-500,end_right,"8,9,10,11",4.7635,5.5,21.331,2000
-450,top_nearest,28,0.3424,0.5,319.413,2000
-450,end_left,"4,5,6,7",1.2233,1.5,363.955,2000
-450,end_right,"8,9,10,11",4.5591,5.25,23.694,2000
-400,top_nearest,31,0.3458,0.5,367.187,2000
-400,end_left,"0,1,2,3",1.4077,1.75,301.788,2000
-400,end_right,"8,9,10,11",4.3719,5.0,27.997,2000
-350,top_nearest,33,0.3425,0.5,318.942,2000
-350,end_left,"0,1,2,3",1.5904,1.75,249.451,2000
-350,end_right,"8,9,10,11",4.1792,4.75,31.341,2000
-300,top_nearest,36,0.3458,0.5,370.567,2000
-300,end_left,"0,1,2,3",1.7754,2.0,201.823,2000
-300,end_right,"12,13,14,15",4.0054,4.5,34.237,2000
-250,top_nearest,38,0.3423,0.5,318.089,2000
-250,end_left,"4,5,6,7",1.9642,2.25,171.687,2000
-250,end_right,"8,9,10,11",3.8076,4.25,38.731,2000
-200,top_nearest,41,0.3457,0.5,370.098,2000
-200,end_left,"4,5,6,7",2.1445,2.5,145.669,2000
-200,end_right,"8,9,10,11",3.6202,4.0,44.371,2000
-150,top_nearest,43,0.3424,0.5,318.16,2000
-150,end_left,"0,1,2,3",2.3232,2.75,127.049,2000
-150,end_right,"8,9,10,11",3.4317,4.0,50.212,2000
-100,top_nearest,46,0.3456,0.5,372.455,2000
-100,end_left,"0,1,2,3",2.5111,2.75,102.654,2000
-100,end_right,"8,9,10,11",3.2485,3.75,59.573,2000
-50,top_nearest,48,0.3423,0.5,318.168,2000
-50,end_left,"4,5,6,7",2.6968,3.0,89.284,2000
-50,end_right,"8,9,10,11",3.0682,3.5,66.612,2000
0,top_nearest,50,0.351,0.5,366.0,2000
0,end_left,"0,1,2,3",2.8748,3.25,75.906,2000
0,end_right,"8,9,10,11",2.8847,3.25,76.051,2000
50,top_nearest,53,0.3422,0.5,316.171,2000
50,end_left,"0,1,2,3",3.065,3.5,66.171,2000
50,end_right,"12,13,14,15",2.7022,3.0,89.434,2000
100,top_nearest,55,0.3458,0.5,369.322,2000
100,end_left,"0,1,2,3",3.2478,3.75,58.992,2000
100,end_right,"8,9,10,11",2.509,2.75,101.784,2000
150,top_nearest,58,0.3424,0.5,317.743,2000
150,end_left,"0,1,2,3",3.4338,4.0,50.291,2000
150,end_right,"8,9,10,11",2.3247,2.75,126.876,2000
200,top_nearest,60,0.3457,0.5,371.486,2000
200,end_left,"0,1,2,3",3.621,4.0,44.407,2000
200,end_right,"12,13,14,15",2.1489,2.5,146.177,2000
250,top_nearest,63,0.3421,0.5,317.462,2000
250,end_left,"0,1,2,3",3.8111,4.25,38.77,2000
250,end_right,"12,13,14,15",1.9686,2.25,172.473,2000
300,top_nearest,65,0.3455,0.5,369.909,2000
300,end_left,"4,5,6,7",4.0075,4.5,34.042,2000
300,end_right,"8,9,10,11",1.7763,2.0,202.019,2000
350,top_nearest,68,0.3425,0.5,317.587,2000
350,end_left,"0,1,2,3",4.1773,4.75,31.509,2000
350,end_right,"8,9,10,11",1.5933,1.75,248.824,2000
400,top_nearest,70,0.3461,0.5,366.277,2000
400,end_left,"0,1,2,3",4.375,5.0,27.773,2000
400,end_right,"8,9,10,11",1.4067,1.75,300.04,2000
450,top_nearest,73,0.3423,0.5,318.738,2000
450,end_left,"0,1,2,3",4.5677,5.25,23.639,2000
450,end_right,"12,13,14,15",1.2233,1.5,364.594,2000
500,top_nearest,75,0.3461,0.5,367.116,2000
500,end_left,"0,1,2,3",4.7583,5.5,20.989,2000
500,end_right,"12,13,14,15",1.0359,1.25,450.757,2000
550,top_nearest,78,0.3424,0.5,319.643,2000
550,end_left,"0,1,2,3",4.942,5.75,19.191,2000
550,end_right,"12,13,14,15",0.8384,1.0,590.769,2000
600,top_nearest,80,0.3457,0.5,368.212,2000
600,end_left,"4,5,6,7",5.154,6.0,16.743,2000
600,end_right,"12,13,14,15",0.6367,0.75,750.965,2000
650,top_nearest,83,0.3425,0.5,319.67,2000
650,end_left,"0,1,2,3",5.3378,6.25,15.161,2000
650,end_right,"8,9,10,11",0.4275,0.5,1076.769,2000
670,top_nearest,84,0.3427,0.5,316.436,2000
670,end_left,"0,1,2,3",5.433,6.25,14.146,2000
670,end_right,"8,9,10,11",0.3423,0.5,1280.295,2000
690,top_nearest,85,0.3422,0.5,320.647,2000
690,end_left,"0,1,2,3",5.4988,6.25,13.85,2000
690,end_right,"12,13,14,15",0.2565,0.5,1564.501,2000
