global_id,face,face_coordinate_mm,detected,matched_boundary_detection,orphan_standard_SD,orphan_fraction_of_detected,incident,expected_surface_pde_sum
0,-X,-26.25,100245,98668,1577,0.015731457928076214,160596,98550.09742728893
1,-X,-18.75,104443,102861,1582,0.01514701799067434,167497,102783.42400626202
2,-X,-11.25,98917,97458,1459,0.014749739680742441,159276,97748.12757617437
3,-X,-3.75,94605,93228,1377,0.014555256064690027,151554,93032.84219457718
4,-X,3.75,100461,99043,1418,0.014114930171907507,161242,98964.22821063048
5,-X,11.25,107763,106078,1685,0.01563616454627284,172469,105826.9545347145
6,-X,18.75,101804,100310,1494,0.014675258339554438,163583,100367.56809027793
7,-X,26.25,86491,85150,1341,0.015504503358730966,138898,85199.2785069529
8,+X,-26.25,100065,98543,1522,0.015210113426272922,160641,98603.75037498094
9,+X,-18.75,104239,102733,1506,0.014447567609052274,167489,102807.2212324742
10,+X,-11.25,99165,97684,1481,0.014934704784954369,159268,97753.42583601426
11,+X,-3.75,94247,92852,1395,0.014801532144259234,151131,92785.52306249771
12,+X,3.75,100644,99115,1529,0.015192162473669567,161944,99377.18780066555
13,+X,11.25,107080,105391,1689,0.01577325364213672,172558,105899.79326369692
14,+X,18.75,101492,99965,1527,0.015045520829227919,162878,99928.03657934345
15,+X,26.25,86949,85579,1370,0.015756362925393046,139464,85513.58789410836
16,+Y,-692.0,45658,44988,670,0.014674317753734286,73207,44836.58688450741
17,+Y,-672.0,35575,35031,544,0.015291637385804639,56798,34782.207452297655
18,+Y,-652.0,38903,38288,615,0.015808549469192607,62587,38371.14352246342
19,+Y,-632.0,38220,37591,629,0.016457352171637886,61247,37505.88350555469
20,+Y,-612.0,59937,59041,896,0.014949029814638705,96704,59243.07604520173
21,+Y,-592.0,49814,49065,749,0.015035933673264544,79971,49013.684590597644
22,+Y,-572.0,52545,51754,791,0.015053763440860216,84581,51834.456614184455
23,+Y,-552.0,47068,46333,735,0.015615704937537181,75507,46257.22175539808
24,+Y,-532.0,61210,60283,927,0.015144584218264989,98310,60219.37003414683
25,+Y,-512.0,74683,73546,1137,0.015224348245249923,119982,73539.49406625307
26,+Y,-492.0,52953,52127,826,0.01559873850395634,84957,52085.46523631457
27,+Y,-472.0,59690,58807,883,0.014793097671301726,95752,58715.18233981657
28,+Y,-452.0,45099,44380,719,0.0159427038293532,72276,44240.93346174593
29,+Y,-432.0,81109,79878,1231,0.015177107349369367,129944,79617.48537968702
30,+Y,-412.0,72666,71517,1149,0.0158120716703823,116629,71454.92710833227
31,+Y,-392.0,87350,86042,1308,0.01497424155695478,140459,86036.97056828055
32,+Y,-372.0,84953,83684,1269,0.014937671418313656,136366,83522.56658208113
33,+Y,-352.0,79303,78054,1249,0.01574971943053857,127687,78225.0693954353
34,+Y,-332.0,99767,98269,1498,0.015014984914851605,160304,98187.05696269033
35,+Y,-312.0,94815,93373,1442,0.015208564045773348,152119,93145.90948272236
36,+Y,-292.0,113334,111594,1740,0.015352850865583143,182105,111486.82118239207
37,+Y,-272.0,87936,86541,1395,0.015863810043668124,141545,86572.97430306955
38,+Y,-252.0,112323,110595,1728,0.015384204481717904,181103,110856.68574675673
39,+Y,-232.0,139930,137768,2162,0.01545058243407418,225765,138284.69745956786
40,+Y,-212.0,141753,139629,2124,0.014983809866457852,228609,139893.68729682796
41,+Y,-192.0,158741,156308,2433,0.015326853175928084,255655,156536.57899372082
42,+Y,-172.0,123479,121575,1904,0.01541962600928093,199436,122018.04198725798
43,+Y,-152.0,163846,161354,2492,0.015209403952491974,263874,161312.16906001812
44,+Y,-132.0,203449,200262,3187,0.01566485949795772,327257,200129.5106510627
45,+Y,-112.0,212565,209257,3308,0.015562298591019218,342235,209246.8536940193
46,+Y,-92.0,248875,245212,3663,0.014718232044198896,400557,244859.6616199181
47,+Y,-72.0,261685,257598,4087,0.0156180140244951,422004,258251.2065753658
48,+Y,-52.0,338610,333441,5169,0.015265349517143617,545198,333719.52700402593
49,+Y,-32.0,488382,480997,7385,0.015121359919079737,785158,481028.4753476909
50,+Y,-12.0,698477,687902,10575,0.015140083352780406,1122926,687968.9370707623
51,+Y,12.0,700458,689773,10685,0.015254305040416413,1125249,689238.052261454
52,+Y,32.0,489688,482193,7495,0.015305664014637892,786892,481995.07192463806
53,+Y,52.0,339430,334236,5194,0.015302124149309137,546060,334256.7339225733
54,+Y,72.0,261848,257899,3949,0.015081268522196083,421357,258003.76325126278
55,+Y,92.0,248093,244344,3749,0.015111268758086686,400325,244815.9879047718
56,+Y,112.0,212590,209281,3309,0.015565172397572793,342420,209420.24469101586
57,+Y,132.0,202395,199196,3199,0.015805726426048074,325948,199347.5786098155
58,+Y,152.0,163562,161016,2546,0.015565962754184957,262719,160614.93057457864
59,+Y,172.0,124573,122656,1917,0.015388567346054122,201120,123021.12251084813
60,+Y,192.0,158837,156465,2372,0.01493354822868727,255630,156521.50158677108
61,+Y,212.0,142451,140343,2108,0.014798070915613089,229298,140330.29568601595
62,+Y,232.0,139529,137423,2106,0.015093636448336905,224938,137770.0979006406
63,+Y,252.0,111879,110212,1667,0.01490002592086093,180319,110397.79768392711
64,+Y,272.0,87762,86445,1317,0.01500649483831271,141430,86498.03859277
65,+Y,292.0,113514,111812,1702,0.014993745264901246,182411,111692.2316164901
66,+Y,312.0,94068,92578,1490,0.0158396053918442,151484,92754.02048790756
67,+Y,332.0,99886,98338,1548,0.015497667340768476,160275,98183.67776953478
68,+Y,352.0,78573,77397,1176,0.014966973387804972,126374,77444.29674444757
69,+Y,372.0,84906,83619,1287,0.015157939368242527,136869,83819.38367121384
70,+Y,392.0,87900,86563,1337,0.015210466439135381,140409,86002.3384940044
71,+Y,412.0,72672,71540,1132,0.015576838397181858,116543,71444.9088226401
72,+Y,432.0,81135,79837,1298,0.015998027978061255,130268,79825.9572894983
73,+Y,452.0,45260,44576,684,0.01511268228015908,72631,44473.57856180287
74,+Y,472.0,59493,58580,913,0.015346343267275141,95536,58568.86570981614
75,+Y,492.0,52823,51997,826,0.015637127766313916,84605,51861.796396003665
76,+Y,512.0,75217,74072,1145,0.015222622545435207,120332,73747.42617805437
77,+Y,532.0,61086,60137,949,0.015535474576826113,98652,60443.850436728695
78,+Y,552.0,46520,45855,665,0.014294926913155632,74957,45920.196195010554
79,+Y,572.0,52320,51547,773,0.014774464831804281,83897,51393.113701367205
80,+Y,592.0,50022,49268,754,0.01507336771820399,80582,49367.73920343053
81,+Y,612.0,60097,59174,923,0.015358503752267168,96381,59056.32919071812
82,+Y,632.0,37931,37349,582,0.015343650312409375,60814,37251.3099443962
83,+Y,652.0,39208,38616,592,0.015098959396041623,62697,38423.78176580501
84,+Y,672.0,35148,34644,504,0.014339364970979856,56781,34781.86231035688
85,+Y,692.0,45238,44563,675,0.014921084044387462,72836,44611.92871352434
