x_mm,group,channel_or_cluster,fpt_ns,t_le4_ns,N_at_tmax,n_events
-690,top_nearest,16,0.3428,0.5,350.947,2000
-690,end_left,"4,5,6,7",0.2568,0.5,1703.125,2000
-690,end_right,"8,9,10,11",5.5092,6.25,20.759,2000
-670,top_nearest,17,0.3426,0.5,350.418,2000
-670,end_left,"0,1,2,3",0.3424,0.5,1417.499,2000
-670,end_right,"8,9,10,11",5.4102,6.25,21.427,2000
-650,top_nearest,18,0.3427,0.5,351.045,2000
-650,end_left,"0,1,2,3",0.4277,0.5,1194.461,2000
-650,end_right,"12,13,14,15",5.3444,6.0,22.16,2000
-600,top_nearest,21,0.3461,0.5,408.036,2000
-600,end_left,"4,5,6,7",0.6386,0.75,845.395,2000
-600,end_right,"12,13,14,15",5.1564,5.75,24.465,2000
-550,top_nearest,23,0.3428,0.5,352.94,2000
-550,end_left,"4,5,6,7",0.8433,1.0,677.083,2000
-550,end_right,"8,9,10,11",4.9399,5.5,28.041,2000
-500,top_nearest,26,0.3461,0.5,410.92,2000
-500,end_left,"4,5,6,7",1.0412,1.25,527.74,2000
-500,end_right,"8,9,10,11",4.7613,5.5,30.064,2000
-450,top_nearest,28,0.3424,0.5,345.817,2000
-450,end_left,"4,5,6,7",1.2346,1.5,421.805,2000
-450,end_right,"8,9,10,11",4.5816,5.25,33.146,2000
-400,top_nearest,31,0.346,0.5,411.279,2000
-400,end_left,"0,1,2,3",1.419,1.75,358.946,2000
-400,end_right,"8,9,10,11",4.3828,5.0,39.16,2000
-350,top_nearest,33,0.3423,0.5,349.277,2000
-350,end_left,"0,1,2,3",1.6049,1.75,297.721,2000
-350,end_right,"8,9,10,11",4.1913,4.75,43.629,2000
-300,top_nearest,36,0.3459,0.5,413.704,2000
-300,end_left,"0,1,2,3",1.7938,2.0,246.081,2000
-300,end_right,"12,13,14,15",4.0117,4.5,47.755,2000
-250,top_nearest,38,0.3422,0.5,352.181,2000
-250,end_left,"4,5,6,7",1.9855,2.25,212.018,2000
-250,end_right,"8,9,10,11",3.827,4.25,53.228,2000
-200,top_nearest,41,0.3458,0.5,412.456,2000
-200,end_left,"4,5,6,7",2.167,2.5,180.852,2000
-200,end_right,"8,9,10,11",3.639,4.0,59.541,2000
-150,top_nearest,43,0.3423,0.5,350.76,2000
-150,end_left,"0,1,2,3",2.3448,2.75,159.34,2000
-150,end_right,"8,9,10,11",3.4437,4.0,67.43,2000
-100,top_nearest,46,0.3462,0.5,410.976,2000
-100,end_left,"0,1,2,3",2.5271,3.0,128.939,2000
-100,end_right,"8,9,10,11",3.2644,3.75,78.445,2000
-50,top_nearest,48,0.3423,0.5,351.978,2000
-50,end_left,"4,5,6,7",2.7192,3.0,114.875,2000
-50,end_right,"8,9,10,11",3.0835,3.5,87.692,2000
0,top_nearest,51,0.3507,0.5,407.274,2000
0,end_left,"0,1,2,3",2.9006,3.25,97.795,2000
0,end_right,"8,9,10,11",2.9003,3.25,98.213,2000
50,top_nearest,53,0.3424,0.5,348.772,2000
50,end_left,"0,1,2,3",3.0806,3.5,87.016,2000
50,end_right,"12,13,14,15",2.7193,3.0,114.725,2000
100,top_nearest,55,0.3458,0.5,412.829,2000
100,end_left,"0,1,2,3",3.2652,3.75,78.825,2000
100,end_right,"8,9,10,11",2.5318,3.0,129.976,2000
150,top_nearest,58,0.3425,0.5,352.142,2000
150,end_left,"4,5,6,7",3.4584,4.0,67.819,2000
150,end_right,"8,9,10,11",2.3404,2.75,159.998,2000
200,top_nearest,60,0.3455,0.5,413.327,2000
200,end_left,"0,1,2,3",3.6424,4.0,59.84,2000
200,end_right,"12,13,14,15",2.1668,2.5,181.502,2000
250,top_nearest,63,0.343,0.5,352.966,2000
250,end_left,"0,1,2,3",3.8207,4.25,52.969,2000
250,end_right,"12,13,14,15",1.9814,2.25,212.826,2000
300,top_nearest,65,0.3457,0.5,408.741,2000
300,end_left,"4,5,6,7",4.0176,4.5,46.896,2000
300,end_right,"8,9,10,11",1.7937,2.0,243.329,2000
350,top_nearest,68,0.3426,0.5,349.846,2000
350,end_left,"0,1,2,3",4.1942,4.75,43.641,2000
350,end_right,"8,9,10,11",1.6069,1.75,297.549,2000
400,top_nearest,70,0.346,0.5,411.356,2000
400,end_left,"0,1,2,3",4.3802,5.0,39.428,2000
400,end_right,"8,9,10,11",1.4194,1.75,359.712,2000
450,top_nearest,73,0.3429,0.5,352.178,2000
450,end_left,"0,1,2,3",4.569,5.25,33.945,2000
450,end_right,"12,13,14,15",1.2364,1.5,428.251,2000
500,top_nearest,75,0.3463,0.5,410.543,2000
500,end_left,"0,1,2,3",4.7632,5.5,30.261,2000
500,end_right,"12,13,14,15",1.0425,1.25,526.533,2000
550,top_nearest,78,0.3425,0.5,352.346,2000
550,end_left,"0,1,2,3",4.9512,5.5,27.959,2000
550,end_right,"12,13,14,15",0.8432,1.0,677.957,2000
600,top_nearest,80,0.3459,0.5,411.604,2000
600,end_left,"4,5,6,7",5.1569,5.75,24.701,2000
600,end_right,"12,13,14,15",0.6378,0.75,852.211,2000
650,top_nearest,83,0.3427,0.5,350.87,2000
650,end_left,"0,1,2,3",5.3403,6.0,22.259,2000
650,end_right,"8,9,10,11",0.4278,0.5,1189.662,2000
670,top_nearest,84,0.3423,0.5,350.2,2000
670,end_left,"0,1,2,3",5.415,6.25,21.317,2000
670,end_right,"8,9,10,11",0.3423,0.5,1416.943,2000
690,top_nearest,85,0.3424,0.5,352.985,2000
690,end_left,"0,1,2,3",5.4821,6.25,20.832,2000
